Image,Pre,Answer,Post,Answers,Start,End
149.png,The spider is,between,the two boxes.,"between, on, under, next to, behind",1,1
150.png,The girl is,among,the boxes.,"among, between, on, next to, behind",1,1
151.png,The girl is,across,the boxes.,"across, over, on, next to, under",1,1
152.png,The girl is,between,the two boxes.,"between, on, across, next to, behind",1,1
153.png,The girl is,inside,the box.,"inside, on, under, next to, behind",1,1
154.png,The boy is,in,the bathtub.,"in, on, next to, under, behind",1,1
155.png,The cat is,on,the chair.,"on, under, next to, behind, in",1,1
156.png,The raccoon is,in,the box.,"in, on, under, next to, behind",1,1
157.png,The raccoons are,near,each other.,"near, on, next to, behind, in",1,1
158.png,The raccoon is,beside,the box.,"beside, near, behind, under, on",1,1
159.png,The spider is,behind,the box.,"behind, in, on, beside, under",1,1
160.png,The box is,on,the table.,"on, under, beside, behind, near",1,1
161.png,The ball is,under,the table.,"under, on, beside, behind, near",1,1
162.png,The teddy bear is,beside,the chair.,"beside, under, on, behind, near",1,1
163.png,The ball is,between,the table and the chair.,"between, under, on, beside, near",1,1
164.png,The bag is,on,the chair.,"on, under, beside, near, behind",1,1
165.png,The turtle is,under,the chair.,"under, on, beside, near, behind",1,1
166.png,The mouse is,on,the box.,"on, under, beside, near, behind",1,1
167.png,The cat is,in front of,the box.,"in front of, behind, on, beside, near",1,1
168.png,The dog is,behind,the box.,"behind, in front of, beside, near, on",1,1
169.png,The dog is,below,the box.,"below, on, beside, near, behind",1,1
170.png,The telephone is,above,the vase.,"above, below, beside, near, behind",2,2
170.png,The lamp is,beside,the table.,"beside, on, above, near, behind",2,2
170.png,The cup is,on,the table.,"on, under, beside, above, near",2,2
170.png,The vase is,on,the table.,"on, under, beside, near, behind",2,2
171.png,The mixer is,next to,the pot.,"next to, on, above, beside, behind",5,5
171.png,The pancake is,on,the table.,"on, under, next to, near, beside",5,5
171.png,The jars are,inside,the cupboard.,"inside, on, above, next to, beside",5,5
171.png,The fruit basket is,next to,the pot.,"next to, behind, on, near, under",5,5
172.png,The telephone is,on,the desk.,"on, under, beside, near, behind",5,6
172.png,The books are,inside,the shelves.,"inside, on, beside, near, under",5,6
172.png,The umbrella is,beside,the desk.,"beside, under, near, on, behind",5,6
173.png,The scissors are,hanging,on the board.,"hanging, on, beside, under, near",7,8
173.png,The paintbrushes are,above,the table.,"above, under, near, beside, on",7,8
174.png,The car is,in front of,the house.,"in front of, beside, near, behind, under",1,1
175.png,The bench is,between,the tree and the lamppost.,"between, beside, in front of, near, under",2,2
176.png,The fishing rods are,on,the table.,"on, beside, near, in front of, under",4,4
176.png,The bucket is,beside,the table.,"beside, under, near, on, behind",4,4
177.png,The guitar is,on,the bench.,"on, beside, near, behind, under",3,3
177.png,The bench is,in front of,the flowers.,"in front of, beside, behind, near, on",3,3
178.png,The drink is,on,the table.,"on, beside, near, behind, under",3,3
179.png,The painting is,on,the easel.,"on, beside, near, behind, above",5,5
179.png,The paintbrushes are,in,the holder.,"in, on, beside, near, under",5,5
180.png,The backpack is,on,the table.,"on, beside, near, under, behind",3,3
180.png,The camera is,beside,the backpack.,"beside, near, in front of, under, on",3,3
181.png,The pies are,inside,the oven.,"inside, on, beside, near, under",4,5
181.png,The coffee maker is,beside,the oven.,"beside, near, on, under, in front of",4,5
181.png,The cupcakes are,on,the tray.,"on, beside, near, under, in front of",4,5
181.png,The bowl of kiwis is,near,the coffee pot.,"near, on, beside, under, behind",4,5
182.png,The chairs are,around,the campfire.,"around, near, beside, in front of, behind",7,8
182.png,The caravan is,beside,the campfire.,"beside, near, behind, in front of, on",7,8
183.png,The dog is,inside,the tent.,"inside, beside, near, on, in front of",5,6
183.png,The boots are,beside,the tent.,"beside, on, near, under, behind",5,6
183.png,The lanterns are,in front of,the tent.,"in front of, near, beside, behind, on",5,6
183.png,The kayakers are,on,the river.,"on, beside, near, under, in front of",5,5
184.png,The telescope is,on,the platform.,"on, beside, near, under, behind",3,3
184.png,The backpack is,beside,the telescope.,"beside, near, on, under, in front of",3,3
185.png,The yellow umbrella is,beside,the blue umbrella.,"beside, near, behind, in front of, on",4,5
185.png,The flowers are,under,the umbrellas.,"under, beside, near, on, behind",4,5
186.png,The cart is,in front of,the general store.,"in front of, near, beside, behind, under",3,3
187.png,The watering can is,in front of,the bench.,"in front of, beside, near, under, behind",4,4
187.png,The bird is,on top of,the bench.,"on top of, beside, near, above, behind",4,4
188.png,The snowman is,in front of,the house.,"in front of, beside, near, behind, under",3,3
188.png,The cat is,beside,the snowman.,"beside, near, under, behind, in front of",3,3
189.png,The general store is,behind,the truck.,"behind, beside, near, under, in front of",6,6
189.png,The geese are,walking near,the truck.,"walking near, behind, beside, under, around",6,6
189.png,The fruits are,in front of,the store.,"in front of, behind, beside, near, inside",6,6
190.png,The flowers are,on,the suitcase.,"on, near, beside, in front of, under",3,3
190.png,The suitcase is,in front of,the sofa.,"in front of, beside, near, under, behind",3,3
191.png,The bird is,on,the mailbox.,"on, near, beside, in front of, above",3,3
191.png,The letter is,in,the mailbox.,"in, outside, beside, under",3,3
192.png,The bird is,sitting on,the suitcase.,"sitting on, beside, near, under",4,4
192.png,The hat is,on top of,the suitcase.,"on top of, near, beside",4,4
192.png,The bench is,beside,the station wall.,"beside, near, in front of, under",4,4
193.png,The sewing machine is,on,the table.,"on, beside, near, in front of",3,3
193.png,The vase with flowers is,beside,the sewing machine.,"beside, near, on, behind",3,3
193.png,The thread spools are,near,the sewing machine.,"near, beside, in front of, under",3,3
194.png,The typewriter is,on,the table.,"on, beside, near, in front of",3,3
194.png,The open book is,in front of,the typewriter.,"in front of, beside, near, under",3,3
195.png,The camera is,on,the stack of books.,"on, beside, near, in front of",2,2
195.png,The coffee cup is,in front of,the books.,"in front of, beside, near, on",2,2
196.png,The plants are,on,the table.,"on, near, beside, in front of",2,2
196.png,The window is,behind,the plants.,"behind, beside, near, in front of",2,2
197.png,The lamp is,beside,the pink flower pot.,"beside, near, in front of, behind",6,7
197.png,The yarn balls are,on,the shelf.,"on, under, beside, near",6,7
